Nome da Embarca__o;N_mero de Inscri__o no RGP (PPP ou RAEP);N_mero de Inscri__o na Marinha do Brasil;AB;Comprimento;Propuls_o;HP;Capacidade do Por_o;Volume do Tanque;Tripula__o;N_mero de Covos;Status;UF;N_mero da Frota;C_digo IN;Petrecho;Ano de Constru__o
7;RJ00070751;3870058803;7;10,2;Motor;33;;;3;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;1999
7;CE00253345;161M2013001190;;4,13;Motor, Vela;;;;;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;2009
02 DE JULHO;CE00033717;1620022150;0,9;5,3;Vela;;;;4;60;Deferida;CE;5.01.004;5.3;5. Armadilha;1996
02 GUERREIROS;PA00161265;230095631;2;9;Motor;9;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2002
03 IRMAOS;AP00244798;220088276;4,53;10;Motor;22;;1000;3;;Deferida;AP;2.04.004;2.12;2. Rede de Emalhe;2011
03 IRM_OS;BA00002978;2810275254;12,3;11,47;Motor;225;;16477;2;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2005
03 MAIO II;ES00131160;3430045851;4;8,4;Motor;45;;70;4;;Deferida;ES;2.04.001;2.4;2. Rede de Emalhe;1994
03 NETINHOS;SC00180187;4420222727;14,5;12,6;Motor;60;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2009
04 DE ABRIL;CE00251427;161M2010000851;;5,68;Motor;17;;;3;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;2008
04 DE JULHO;CE00013379;1620014009;5;8,85;Motor;51;;3735;4;200;Deferida;CE;5.01.004;5.3;5. Armadilha;1984
11 DE NOVEMBRO;RJ00130718;3877041710;0,7;6,3;Remo;60;;10;;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2003
12 AP_STOLOS;CE00248690;1630046035;31;14;Motor;140;;7000;6;;Deferida;CE;1.06.003;1.12;1. Linha;2014
12 DE AGOSTO;MA00273719;1210141124;1;5,95;Motor;9;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2009
13 DE JUNHO;BA00210171;2930018321;1,9;7;Motor;18;;;3;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1998
14 DE DEZEMBRO;RJ00140247;3870010789;;7,2;Motor;3,5;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;1962
16 de Janeiro;PA00161645;230076823;2,3;8,2;Motor;;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;1996
16 DE JUNHO;RN00105467;1810057345;6;8,5;Motor;45;;;5;200;Deferida;RN;5.01.001;5.1;5. Armadilha;2000
19 DE MAR_O;BA00244768;2930001348;3;9,2;Motor;;;;4;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1982
1_ VALERIA;CE00026784;1620020114;1,7;6,77;Vela;;;;5;80;Deferida;CE;5.01.004;5.3;5. Armadilha;1995
1_ de abril;PA00309519;211027618;82;21,27;Motor;375;110,28;;;;Deferida;PA;3.08.002;3.2;3. Rede de Arrasto;2017
1 DE JUNHO;ES00070765;3430034710;7,9;9,62;Motor;60;;70;3;;Deferida;ES;3.02.002;3.9;3. Rede de Arrasto;1982
1 DE MAIO;SP00042508;4030175686;5,1;9;Motor;18;;340;2;;Deferida;SP;2.04.001;2.4;2. Rede de Emalhe;1986
1_ MISSIONARIO;AP00216967;220047928;8,2;14;Motor;69;;100;2;;Deferida;AP;2.04.002;2.10;2. Rede de Emalhe;1999
1 SOLAR;CE00292577;1630046639;34;13,65;Motor;108;;5000;;;Deferida;CE;1.06.003;1.12;1. Linha;2016
20 DE OUTUBRO;ES00129121;3410120319;;6,6;Motor;;;;3;;Deferida;ES;3.02.002;3.9;3. Rede de Arrasto;1983
20 DE OUTUBRO;RN00013391;1810051151;3,8;8,25;Motor;18;;;5;200;Deferida;RN;5.01.001;5.1;5. Armadilha;1997
23 DE ABRIL XVII;BA00183717;2930013834;3,2;8;Motor;18;;50;4;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1995
24 HORAS;RJ00150048;388M2018001003;0,35;4,98;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2017
27 DE MAIO;ES00070777;3410064460;1,15;4,8;Motor;10;;;3;;Deferida;ES;3.02.002;3.9;3. Rede de Arrasto;1961
29 DE JUNHO;ES00070789;3430024978;6,5;8,9;Motor;160;;70;3;;Deferida;ES;3.02.002;3.9;3. Rede de Arrasto;1976
2 AMIGOS;CE00032497;161M2007001611;;6,14;Vela;;;;3;80;Deferida;CE;5.01.004;5.3;5. Armadilha;1995
2 DE JULHO;BA00239525;2930012684;2,1;8,1;Motor;;;;3;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1991
2 IRM_OS;PA00189765;210302691;4;10,8;Motor;96;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2004
2 IRM_OS;SC00208946;442M2008000014;;5,2;Motor;15;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2008
2 IRM_OS;RJ00148169;387M2012001069;;7;Motor;6,5;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2009
2 IRM_OS DO CASTELO;PA00112284;210283971;1,3;7;Motor;12;;;;;Deferida;PA;2.00.000;null;2. Rede de Emalhe;1999
2 IRMAOS II;PA00161247;230104240;2,5;11;Motor;11;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2005
2 IRMAS;PA00161479;230098207;2,5;11;Motor;9;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2004
2 IRM_S;SC00332290;443M2022003327;1;5;Remo;;;;4;;Deferida;SC;6.08.004;6.11;6. Diversificada;2020
2 Litros e 1/2;SP00164851;484M2004002597;;5,83;Motor;25;;;5;;Deferida;SP;2.04.001;2.4;2. Rede de Emalhe;2004
2_ MISSIONARIO;AP00211847;220085838;2,29;10;Motor;60;;2000;4;;Deferida;AP;2.04.002;2.10;2. Rede de Emalhe;2009
2 PEDRO;BA00238109;2930022060;13,9;13;Motor;;;;5;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2002
2 TOK;SC00298309;441M2016001505;1;5,05;Motor;15;;;1;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2014
3 AMIGOS;SC00164591;441M2009000371;;4;Motor;4;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2007
3 AMIGOS DO ARARI II;PA00172328;210994363;7;12;Motor;32;;;2;;Deferida;PA;1.03.004;1.5;1. Linha;2011
3 AMORES;SC00323529;4420223588;1,6;7,8;Motor;50;;;1;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1978
3 AS;PR00116068;421M2010000058;;6,14;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2009
