"Nome da Variável","Tipo","Descrição","Unidades","Valores Faltantes"
"Edital","Data (Ano)","Ano do edital do programa Bolsa Atleta ao qual o atleta está vinculado.","Ano","Não"
"CPF","Textual (Identificador)","Cadastro de Pessoa Física (CPF) do atleta, anonimizado para privacidade.","Não se aplica","Não"
"Nome do Atleta","Textual","Nome completo do atleta beneficiado pelo programa.","Não se aplica","Não"
"Categoria","Categórica","Nível em que o atleta se enquadra no programa (ex: Atleta Nacional, Atleta Internacional, Atleta Pódio).","Não se aplica","Não"
"Modalidade","Categórica","Esporte ou modalidade esportiva praticada pelo atleta.","Não se aplica","Não"
"Situação","Categórica","Status do pagamento da bolsa para o mês de referência (ex: Pago).","Não se aplica","Não"
"Valor Pago","Numérica (Moeda)","Valor da bolsa pago ao atleta. Observação: o campo contém 'R$' e usa vírgula como separador decimal.","Reais (BRL)","Não"
"Data de Pagamento","Data","Data em que o pagamento da bolsa foi efetivado, no formato DD/MM/AAAA.","Data (DD/MM/AAAA)","Não"
"Municipio","Textual","Município de residência declarado pelo atleta.","Não se aplica","Não"
"UF","Categórica","Unidade Federativa (Estado) de residência do atleta.","Não se aplica","Não"
