"Nome da Variável","Tipo","Descrição","Unidades","Valores Faltantes"
"Nome","Textual (Identificador)","Nome do levantamento sísmico ou do projeto de reprocessamento. Geralmente usado como um identificador único para o conjunto de dados.","Não se aplica","Não"
"Categoria","Categórica","Classifica o dado sísmico, indicando se é um novo `Levantamento Geofísico` ou um `Reprocessamento` de dados já existentes.","Não se aplica","Não"
"Tipo","Categórica","Indica a natureza do contrato ou da aquisição dos dados, por exemplo, `Exclusivo`.","Não se aplica","Não"
"Autorização","Textual (Alfanumérico)","Código ou número da autorização concedida pela agência reguladora para a realização do levantamento ou reprocessamento.","Não se aplica","Sim"
"Inicio","Data","Data de início da aquisição ou do reprocessamento dos dados sísmicos, no formato DD/MM/AAAA.","Data (DD/MM/AAAA)","Não"
"Término Real","Data","Data real de término da aquisição ou do reprocessamento dos dados, no formato DD/MM/AAAA.","Data (DD/MM/AAAA)","Não"
"Confidencialidade","Categórica","Status de confidencialidade dos dados. Indica se os dados ainda estão sob sigilo (`Confidencial`).","Não se aplica","Não"
"Público em","Data","Data em que os dados sísmicos se tornam públicos, após o término do período de confidencialidade, no formato DD/MM/AAAA.","Data (DD/MM/AAAA)","Não"
"Ato Normativo","Categórica / Textual","Resolução ou ato normativo que rege o período de confidencialidade e a publicização dos dados (ex: `Res. 1/2015`).","Não se aplica","Não"
"Tecnologia","Categórica / Textual","Tecnologia empregada na aquisição ou processamento dos dados (ex: `Sísmica 2D`, `Sísmica 3D`, `PSDM 3D`).","Não se aplica","Não"
"Bloco","Textual (Alfanumérico)","Nome ou código do bloco exploratório onde o levantamento foi realizado.","Não se aplica","Não"
"Campo","Textual","Nome do campo de produção de petróleo ou gás ao qual o dado sísmico está associado.","Não se aplica","Não"
"Bacia","Textual","Bacia sedimentar onde se localiza a área do levantamento sísmico (ex: `Santos`, `Campos`).","Não se aplica","Não"
"E.A.D","Textual","Sigla para ""Empresa de Aquisição de Dados"". Refere-se ao nome da empresa contratada para realizar a aquisição sísmica.","Não se aplica","Não"
"Operadora","Textual","Nome da empresa operadora do bloco ou campo, que detém os direitos e responsabilidades sobre a área.","Não se aplica","Não"
